x,mND1,mND2,mND3,mND4,mND5,mND6,mND7,mND8,mND9,mND10,mHFD1,mHFD2,mHFD3,mHFD4,mHFD5,mHFD6,mHFD7,mHFD8,mHFD9,mHFD10
OTU258,1,0,1,1,0,4,0,1,0,1,7,3,1,0,3,2,3,4,0,0
OTU259,0,0,0,0,1,0,0,0,0,0,7,0,0,0,1,2,0,2,1,2
OTU26,11,0,31,9,15,11,5,0,0,6,34,42,42,1,8,14,14,16,5,50
OTU260,0,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,2,2,0,1
OTU261,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,2
OTU262,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
OTU263,0,1,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,6,0,3
OTU264,0,2,1,0,0,7,0,5,0,4,0,0,1,1,0,4,1,9,0,1
OTU265,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,7,0,1
OTU266,0,0,0,1,0,0,0,0,0,0,1,0,1,7,2,0,0,3,2,9
OTU267,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
OTU268,0,1,0,1,0,2,0,1,0,3,18,1,3,2,0,16,1,2,0,0
OTU269,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,1,0,2,0,3
OTU27,0,0,0,1,0,0,0,1,0,0,0,0,17,0,4,17,27,86,17,18
OTU270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0
OTU271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,2
OTU273,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,0,0
OTU274,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0
OTU275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0
OTU276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
OTU277,2,0,6,2,4,4,2,3,1,3,0,0,0,0,0,0,0,10,0,0
OTU278,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,1
OTU279,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
OTU28,4,8,0,3,4,4,5,3,6,1,20,29,3,0,4,3,11,29,12,27
OTU280,0,2,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
OTU281,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU282,11,7,5,0,1,1,0,2,2,6,0,0,0,0,0,0,0,1,0,0
OTU283,1,1,0,4,0,1,1,0,2,4,0,0,0,0,0,0,0,0,0,0
OTU284,1,1,0,1,1,4,3,2,1,0,0,1,0,0,0,1,0,4,0,0
OTU285,2,0,1,2,0,4,0,2,4,1,0,0,0,0,0,0,0,0,0,0
OTU286,5,4,0,0,0,9,0,8,0,0,0,1,0,0,0,1,0,0,0,0
OTU287,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0
OTU288,4,0,4,4,4,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0
OTU29,6,0,1,51,29,1,0,14,46,28,0,0,0,0,0,0,0,0,0,0
OTU290,19,6,0,6,15,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
OTU291,2,0,0,2,4,1,1,7,1,0,0,0,1,0,0,0,0,0,0,0
OTU294,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
OTU295,0,2,0,0,0,5,0,3,1,1,0,0,0,0,0,0,0,0,0,0
OTU296,0,0,0,0,2,2,1,5,2,4,0,0,0,0,0,0,0,0,0,0
OTU297,0,1,0,1,0,10,0,4,2,0,0,1,0,0,0,0,0,0,0,0
OTU299,1,7,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU3,14,59,27,16,11,53,66,215,109,45,278,128,22,518,33,503,60,113,33,111
OTU30,0,0,0,1,1,3,0,1,0,1,132,26,8,35,6,47,0,9,0,55
OTU300,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU301,1,1,0,0,0,0,4,0,0,5,1,0,0,0,0,0,0,0,0,0
OTU302,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1
OTU303,1,0,1,14,0,2,0,45,1,1,0,0,0,0,1,0,0,2,0,1
OTU304,0,0,0,0,0,1,0,19,1,0,0,0,0,1,0,0,1,0,0,0
OTU306,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
OTU307,0,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
OTU308,0,0,0,1,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0
OTU309,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,3
OTU31,57,36,22,19,41,37,122,21,28,23,0,21,15,0,4,4,32,30,6,57
OTU310,0,0,1,0,0,0,0,0,0,0,1,14,0,4,0,15,2,1,0,0
OTU311,0,1,0,0,0,1,0,1,0,0,3,3,0,2,0,2,2,2,0,2
OTU312,0,6,0,6,0,1,0,6,0,0,6,2,0,0,0,0,1,3,0,0
OTU313,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0
OTU314,5,2,0,0,0,6,0,0,1,0,1,0,1,1,0,1,1,6,0,1
OTU315,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
OTU316,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,1,5,1,0
OTU318,1,0,0,0,0,0,0,1,0,0,4,3,0,2,0,1,0,1,0,0
OTU319,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,1
OTU32,3,5,28,2,10,7,5,12,5,3,2,24,4,0,0,4,15,22,4,8
OTU320,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,1
OTU321,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,3
OTU322,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
OTU325,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
OTU326,1,2,0,4,2,2,0,1,2,0,1,0,0,3,0,0,1,0,0,0
OTU327,0,1,0,10,0,1,0,6,0,0,0,2,1,0,3,0,1,4,0,1
OTU328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
OTU329,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7
OTU33,0,0,278,0,0,0,76,1,2,8,0,0,0,0,0,0,0,0,0,0
OTU330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1
OTU331,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0
OTU332,1,0,0,0,4,4,1,4,7,1,0,0,1,0,1,2,5,2,0,2
OTU335,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0
OTU336,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,1,0,0
OTU337,0,3,0,6,1,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0
OTU339,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
OTU34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,1,0
OTU341,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,4,0,0
OTU342,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
OTU343,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,1,1,2,1,0
OTU344,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1
OTU345,1,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,5,0,0
OTU346,1,0,0,1,1,0,1,1,3,0,0,0,0,2,0,0,3,3,0,2
OTU348,2,1,0,2,2,3,1,4,1,2,0,0,1,0,0,1,0,0,1,2
OTU349,3,12,0,2,2,6,1,2,4,1,0,4,0,0,0,0,3,0,0,2
OTU35,86,166,0,13,0,276,1,0,16,3,0,0,0,0,0,0,0,0,0,0
OTU350,0,3,0,0,0,3,1,8,1,0,0,1,0,0,0,0,0,0,0,0
OTU351,0,2,0,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
OTU352,0,3,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0
OTU353,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
OTU354,0,9,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
OTU356,1,8,0,2,0,1,0,4,1,0,0,0,0,0,0,0,0,1,0,3
OTU358,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU36,11,1,85,1,7,7,1,32,11,12,0,0,0,0,0,0,0,0,0,0
OTU360,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
OTU361,37,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0
OTU365,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU366,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU368,0,0,3,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
OTU369,1,0,0,5,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
OTU37,17,5,23,4,0,0,46,35,25,6,0,0,0,0,0,0,0,0,0,0
OTU370,0,2,1,10,0,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0
OTU371,0,4,0,7,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0
OTU372,0,0,6,3,4,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0
OTU375,0,8,0,12,1,3,0,6,1,4,13,1,8,2,0,1,0,5,0,3
OTU377,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU379,1,3,0,1,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU38,17,7,9,2,46,10,11,3,23,23,0,0,1,0,2,13,0,0,1,1
OTU381,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU382,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0
OTU384,1,0,0,1,0,3,0,0,12,1,0,0,0,0,0,0,0,0,0,0
OTU388,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0
OTU39,52,24,104,60,60,37,76,17,44,24,0,1,1,0,0,0,1,0,2,2
OTU390,1,0,1,3,0,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0
OTU392,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU393,1,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
OTU394,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
