name,log2FC,pvalue,Status
peak54283,-1.32303073,0.029477141,Loss
peak63012,-1.322279281,0.017433852,Loss
peak58111,-1.320735152,0.021911943,Loss
peak66400,-1.319974967,0.042217174,Loss
peak615,-1.319259333,0.00922278,Loss
peak17395,-1.319061454,0.022230125,Loss
peak11683,-1.319046224,0.041604895,Loss
peak17567,-1.318112488,0.05650038,Stable
peak23353,-1.318036746,0.041133913,Loss
peak22572,-1.317988983,0.062881332,Stable
peak16276,-1.317674904,0.055335851,Stable
peak21575,-1.317112804,0.007291015,Loss
peak1205,-1.316391242,0.018219733,Loss
peak2247,-1.316378204,0.043285761,Loss
peak71170,-1.31431411,0.018190598,Loss
peak24358,-1.313851258,0.060942776,Stable
peak23230,-1.313753235,0.041847206,Loss
peak58354,-1.31192571,0.021320396,Loss
peak61791,-1.309331432,0.064984847,Stable
peak21126,-1.308468965,0.276997609,Stable
peak62376,-1.307693606,0.050927017,Stable
peak71341,-1.307404668,0.106025057,Stable
peak34449,-1.306778915,0.026858061,Loss
peak64954,-1.306043463,0.085317267,Stable
peak55424,-1.306020776,0.016532597,Loss
peak5424,-1.305844325,0.02844454,Loss
peak27417,-1.304558121,0.085160211,Stable
peak42748,-1.304413966,0.037205783,Loss
peak58623,-1.303531616,0.006913772,Loss
peak9874,-1.302246484,0.035846268,Loss
peak34577,-1.300003359,0.051662503,Stable
peak55758,-1.299105486,0.03341238,Loss
peak24757,-1.298928115,0.03885451,Loss
peak38272,-1.298696061,0.030012096,Loss
peak58576,-1.297696732,0.033181358,Loss
peak9184,-1.297012619,0.035401443,Loss
peak15452,-1.295978508,0.062258305,Stable
peak47499,-1.295662899,0.071631479,Stable
peak44032,-1.295148934,0.018254346,Loss
peak20880,-1.294617381,0.021752443,Loss
peak4011,-1.294179185,0.014849202,Loss
peak22063,-1.294147643,0.012065874,Loss
peak32852,-1.294124894,0.049636255,Loss
peak57927,-1.293821347,0.098589796,Stable
peak52889,-1.292283425,0.003451851,Loss
peak50837,-1.292140576,0.002234661,Loss
peak23183,-1.291733163,0.00981652,Loss
peak57428,-1.28943394,0.020159571,Loss
peak57263,-1.289111135,0.035156211,Loss
peak38267,-1.288309436,0.068365448,Stable
peak19908,-1.287148028,0.014805291,Loss
peak67621,-1.286712365,0.039451636,Loss
peak22659,-1.28669024,0.019410179,Loss
peak40794,-1.286486079,0.000749182,Loss
peak28216,-1.285554516,0.032403177,Loss
peak17255,-1.284709641,0.000925807,Loss
peak52442,-1.284223403,0.023740516,Loss
peak2535,-1.284178426,0.051352387,Stable
peak37099,-1.284071703,0.032776696,Loss
peak52721,-1.283471353,0.042078307,Loss
peak14343,-1.283325777,0.02290673,Loss
peak12654,-1.283234932,0.02279262,Loss
peak10794,-1.283158238,0.019976759,Loss
peak6796,-1.282224992,0.044514559,Loss
peak22364,-1.281624425,0.063394822,Stable
peak5387,-1.281398892,0.026899159,Loss
peak64138,-1.280689019,0.01895843,Loss
peak10960,-1.27916619,0.006489991,Loss
peak17303,-1.277736869,0.012023402,Loss
peak54811,-1.27653101,0.03593099,Loss
peak65803,-1.276413754,0.049123563,Loss
peak52885,-1.274875806,0.068653011,Stable
peak34284,-1.274615383,0.044403497,Loss
peak45229,-1.274387633,0.015236249,Loss
peak26051,-1.274231588,0.07965663,Stable
peak12231,-1.272744432,0.050370755,Stable
peak40472,-1.271762919,0.049921093,Loss
peak37280,-1.270680925,0.070300707,Stable
peak15284,-1.270236103,0.003407513,Loss
peak45153,-1.269568072,0.015466859,Loss
peak66638,-1.268345937,0.333784076,Stable
peak31400,-1.267916185,0.042086437,Loss
peak44497,-1.266496374,0.054276342,Stable
peak61904,-1.264680131,0.038898909,Loss
peak12679,-1.264660104,0.033959294,Loss
peak50037,-1.263875443,0.033218603,Loss
peak64220,-1.26365894,0.042286501,Loss
peak66340,-1.263377251,0.016011839,Loss
peak20053,-1.263330493,0.142439491,Stable
peak70278,-1.262954616,0.083527944,Stable
peak17647,-1.262659563,0.001562779,Loss
peak71598,-1.261842816,0.073715277,Stable
peak4672,-1.260837113,0.058431574,Stable
peak47308,-1.260311577,0.04471749,Loss
peak6352,-1.260036898,0.005739387,Loss
peak24785,-1.259753107,0.048179001,Loss
peak39127,-1.259273157,0.096326618,Stable
peak67751,-1.259104374,0.027145922,Loss
peak9583,-1.25824434,0.051160428,Stable
peak45768,-1.25743654,0.073650982,Stable
peak15834,-1.25730173,0.051558077,Stable
peak57183,-1.256552698,0.028299898,Loss
peak689,-1.255342577,0.039433848,Loss
peak2851,-1.254958992,0.064156484,Stable
peak5254,-1.253406189,0.019624792,Loss
peak69122,-1.253352442,0.001623151,Loss
peak15667,-1.252991246,0.036598356,Loss
peak45870,-1.252964301,0.004728565,Loss
peak67726,-1.252956018,0.053360228,Stable
peak49168,-1.252921238,0.049042867,Loss
peak32655,-1.252650482,0.058606622,Stable
peak69311,-1.252155177,0.025078924,Loss
peak20738,-1.251977171,0.026932529,Loss
peak3241,-1.251810099,0.009155258,Loss
peak72423,-1.251810099,0.009155258,Loss
peak27,-1.251643453,0.042422031,Loss
peak28411,-1.250890918,0.052782363,Stable
peak1413,-1.247506888,0.0162388,Loss
peak34078,-1.246898226,0.055664421,Stable
peak40358,-1.246263744,0.035592552,Loss
peak71056,-1.246065898,0.044235004,Loss
peak45869,-1.245750321,0.037265716,Loss
peak66072,-1.245342822,0.058523095,Stable
peak74984,-1.24456349,0.00672995,Loss
peak5865,-1.244429178,0.081365,Stable
peak73291,-1.244110696,0.059137028,Stable
peak70239,-1.243752241,0.002430616,Loss
peak71220,-1.243514677,0.034146036,Loss
peak49650,-1.242808998,0.006743851,Loss
peak30595,-1.24241883,0.015993544,Loss
peak39089,-1.242411821,0.042478157,Loss
peak28523,-1.242389346,0.001786972,Loss
peak9996,-1.24169186,0.096717006,Stable
peak52213,-1.240730891,0.046252975,Loss
peak52962,-1.24029567,0.043025161,Loss
peak63247,-1.240164967,0.033002527,Loss
peak27482,-1.238998576,0.052726508,Stable
peak50675,-1.23866734,0.033108915,Loss
peak50784,-1.238539605,0.018780419,Loss
peak18165,-1.238453555,0.022992159,Loss
peak46818,-1.238134431,0.002021283,Loss
peak7292,-1.238125755,0.034047012,Loss
peak88,-1.237455791,0.044778722,Loss
peak56008,-1.237161362,0.026822479,Loss
peak23193,-1.237035537,0.122393456,Stable
peak27402,-1.236439172,0.033441007,Loss
peak49218,-1.23549705,0.045854132,Loss
peak43532,-1.235245294,0.006161285,Loss
peak52404,-1.234212248,0.033966284,Loss
peak51958,-1.23416502,0.046901721,Loss
peak25961,-1.234109516,0.062974514,Stable
peak19133,-1.232764339,0.026473332,Loss
peak24343,-1.23263108,0.005655628,Loss
peak6110,-1.232279053,0.001176545,Loss
peak23031,-1.231662576,0.082871609,Stable
peak6239,-1.230588938,0.063922976,Stable
peak57818,-1.229966851,0.041373985,Loss
peak32191,-1.229818098,0.011058831,Loss
peak15427,-1.22976379,0.00512918,Loss
peak11604,-1.229638147,0.041797025,Loss
peak70620,-1.229027126,0.008374899,Loss
peak10642,-1.228993747,0.021460743,Loss
peak10793,-1.228346233,0.135032288,Stable
peak71536,-1.228287473,0.043738656,Loss
peak25990,-1.228056448,0.024003981,Loss
peak24494,-1.227593115,0.008201949,Loss
peak24313,-1.227032638,0.099972859,Stable
peak43672,-1.226642209,0.007517542,Loss
peak61858,-1.226618596,0.055003127,Stable
peak36645,-1.226182611,0.060461971,Stable
peak52025,-1.226133352,0.039886718,Loss
peak23023,-1.225577079,0.143685028,Stable
peak544,-1.225313569,0.026805082,Loss
peak74034,-1.224308734,0.019317737,Loss
peak4247,-1.223162026,0.021541323,Loss
peak28223,-1.22293352,0.031157685,Loss
peak608,-1.22288354,0.039843794,Loss
peak25784,-1.222838047,0.023799852,Loss
peak31183,-1.222506063,0.005226487,Loss
peak45741,-1.222171108,0.035025098,Loss
peak40219,-1.221750124,0.007448473,Loss
peak17235,-1.221636737,0.013376834,Loss
peak46772,-1.220758151,0.027992133,Loss
peak56663,-1.219847941,0.039860143,Loss
peak59453,-1.219799689,0.031301668,Loss
peak43029,-1.219335351,0.028017525,Loss
peak666,-1.219150407,0.03546572,Loss
peak27647,-1.2189484,0.002696084,Loss
peak38835,-1.216808709,0.014876971,Loss
peak3038,-1.215726763,0.054957679,Stable
peak58460,-1.215706704,0.011192344,Loss
peak51109,-1.214762807,0.060179906,Stable
peak35802,-1.214293354,0.083347244,Stable
peak67799,-1.213256665,0.097549039,Stable
peak22583,-1.212363106,0.052544172,Stable
peak46708,-1.212304302,0.054693426,Stable
peak5852,-1.21219369,0.019439568,Loss
peak43346,-1.211534042,0.004765883,Loss
peak39093,-1.211520246,0.052410394,Stable
peak48329,-1.211419788,0.028810546,Loss
peak72976,-1.211349913,0.067041612,Stable
peak4238,-1.209797612,0.045452905,Loss
peak60564,-1.20966927,0.00722093,Loss
peak50025,-1.20960909,0.011820311,Loss
peak70241,-1.208126478,0.247491678,Stable
peak8095,-1.20801303,0.061553249,Stable
peak55480,-1.207995938,0.182458881,Stable
peak71947,-1.207438931,0.00176185,Loss
peak65411,-1.207108904,0.059606696,Stable
peak11333,-1.206349321,0.001595575,Loss
peak17594,-1.20601825,0.065597324,Stable
peak58533,-1.205924279,0.018110212,Loss
peak18114,-1.205486602,0.048859112,Loss
peak70895,-1.205432879,0.016933562,Loss
peak57117,-1.204458462,0.048887509,Loss
peak62367,-1.203918242,0.025291258,Loss
peak57792,-1.203576887,0.060030165,Stable
peak44840,-1.203564114,0.083239643,Stable
peak71329,-1.202810047,0.022169206,Loss
peak6255,-1.202697306,0.001905798,Loss
peak3648,-1.20232895,0.012027233,Loss
peak37709,-1.201958668,0.006476869,Loss
peak40682,-1.201948096,0.000617077,Loss
peak12845,-1.201481732,0.049649808,Loss
peak75013,-1.201007233,0.056212306,Stable
peak14861,-1.200527636,0.073983527,Stable
peak2557,-1.200394057,0.000781683,Loss
peak43333,-1.200344453,0.006028569,Loss
peak65310,-1.200016669,0.044520509,Loss
peak58492,-1.199874314,0.086355996,Stable
peak17664,-1.199803954,0.0351312,Loss
peak26654,-1.1997891,0.023042097,Loss
peak3249,-1.199694087,0.017101917,Loss
peak7770,-1.199652368,0.028974614,Loss
peak34491,-1.199197957,0.034119803,Loss
peak59040,-1.199176067,0.051633313,Stable
peak5795,-1.198740091,0.104617555,Stable
peak35369,-1.198500742,0.032754373,Loss
peak58440,-1.198105006,0.03087266,Loss
peak69247,-1.197986533,0.030859893,Loss
peak5621,-1.197650874,0.066583132,Stable
peak50298,-1.197341136,0.015815722,Loss
peak10864,-1.197196258,0.095402469,Stable
peak47725,-1.196537729,0.068814656,Stable
