X,norm_foldChange,LOGFC,pvalue,pvalue.adj.FDR,STATE
Rab26,0.409389284,-1.288454757,1.50E-05,3.62E-05,DOWN
Ddhd1,0.409269274,-1.288877733,0,0,DOWN
Gm5475,0.409227021,-1.289026687,0.009032695,0.017279484,DOWN
Gm26772,0.408854047,-1.290342175,2.35E-10,7.40E-10,DOWN
Cul4b,0.40879912,-1.290536006,0,0,DOWN
2900026A02Rik,0.408572394,-1.291336365,1.77E-14,6.64E-14,DOWN
3110021N24Rik,0.408288427,-1.292339421,0,0,DOWN
Zfp595,0.408249412,-1.292477287,8.40E-14,3.08E-13,DOWN
Lmln,0.408209167,-1.292619515,0,0,DOWN
Tox3,0.40814441,-1.292848398,4.15E-12,1.42E-11,DOWN
BC048403,0.408034634,-1.29323648,4.88E-06,1.22E-05,DOWN
Smc1b,0.407834899,-1.293942861,0,0,DOWN
Nexmif,0.40752751,-1.295030644,0,0,DOWN
Pik3r4,0.407427368,-1.2953852,0,0,DOWN
Rpl7a-ps5,0.407405922,-1.295461145,0.000170827,0.000382216,DOWN
mt-Nd4,0.40729912,-1.295839396,0,0,DOWN
Atp2b4,0.406910448,-1.297216772,0,0,DOWN
Hist1h3c,0.406872546,-1.297351157,3.20E-10,1.00E-09,DOWN
AI429214,0.406790362,-1.297642598,1.44E-06,3.72E-06,DOWN
Gm12355,0.406594818,-1.298336268,1.42E-08,4.10E-08,DOWN
Pde7a,0.406581727,-1.298382719,0,0,DOWN
Vwc2,0.406521794,-1.298595396,0.005298123,0.01038218,DOWN
Gpr27,0.406521794,-1.298595396,4.11E-15,1.58E-14,DOWN
Rpl23,0.406232667,-1.299621839,0,0,DOWN
AI606181,0.405984209,-1.300504481,1.72E-05,4.12E-05,DOWN
Evl,0.405920016,-1.300732613,0,0,DOWN
AC110166.1,0.405729354,-1.301410412,0.015782218,0.029351366,DOWN
9530046B11Rik,0.405729354,-1.301410412,0.002396847,0.004864493,DOWN
Ereg,0.405729354,-1.301410412,1.30E-05,3.14E-05,DOWN
Thg1l,0.405452,-1.302396966,0,0,DOWN
B230217O12Rik,0.405446023,-1.302418232,1.40E-05,3.39E-05,DOWN
Gm14443,0.405323625,-1.302853828,0.000664395,0.001419001,DOWN
Adgrv1,0.405167624,-1.303409198,1.43E-12,4.97E-12,DOWN
Nrp2,0.405015042,-1.303952606,1.24E-07,3.41E-07,DOWN
Nipa1,0.405015042,-1.303952606,0,0,DOWN
Cenpe,0.404838972,-1.304579917,0,0,DOWN
Kcnb1,0.404465962,-1.305909798,1.24E-07,3.40E-07,DOWN
Asic2,0.404261447,-1.306639468,0,0,DOWN
Pde8a,0.404206432,-1.306835815,0,0,DOWN
Rnf212b,0.404066529,-1.307335246,0.003993092,0.007932467,DOWN
Numb,0.404018781,-1.307505735,0,0,DOWN
Rpl39,0.403725646,-1.308552859,0,0,DOWN
Rwdd2a,0.403708789,-1.308613098,2.87E-07,7.71E-07,DOWN
Cobl,0.403659306,-1.308789942,7.24E-10,2.23E-09,DOWN
Cyld,0.403490344,-1.309393945,0,0,DOWN
Nckap5,0.403370462,-1.309822651,3.35E-11,1.09E-10,DOWN
Gm49162,0.402970734,-1.311253029,1.84E-14,6.92E-14,DOWN
Gm15834,0.40274605,-1.312057656,0.000199167,0.000442771,DOWN
P2rx1,0.40274605,-1.312057656,5.68E-07,1.50E-06,DOWN
Ep300,0.402572043,-1.312681107,0,0,DOWN
mt-Atp6,0.402508262,-1.312909699,0,0,DOWN
Rnf150,0.402147171,-1.314204524,1.29E-07,3.54E-07,DOWN
Apex2,0.402034799,-1.314607714,0,0,DOWN
Cfap53,0.402007066,-1.314707234,0.014963705,0.027923594,DOWN
Zbtb16,0.401957897,-1.3148837,1.49E-11,4.98E-11,DOWN
Gm27184,0.401870515,-1.315197363,0.013724422,0.025734755,DOWN
Rb1,0.401633255,-1.316049365,0,0,DOWN
Unc13c,0.401206893,-1.317581702,2.80E-13,1.00E-12,DOWN
Rcc2,0.401204542,-1.317590156,0,0,DOWN
Thsd7b,0.401019995,-1.318253922,0.000821371,0.00174298,DOWN
Ppef2,0.400554235,-1.3199305,0.001127885,0.00236551,DOWN
Card6,0.40039081,-1.320519235,7.28E-05,0.000167041,DOWN
Mpp6,0.400236851,-1.321074089,0,0,DOWN
Ctsw,0.400130816,-1.321456354,0.001402341,0.002914254,DOWN
Fbn1,0.399943772,-1.32213091,0,0,DOWN
Maf,0.399877488,-1.32237003,0,0,DOWN
Xlr4c,0.399806298,-1.322626898,0.000195814,0.000435759,DOWN
Fmo1,0.399389833,-1.324130488,0.005089441,0.009999986,DOWN
Ccdc160,0.399389833,-1.324130488,0,0,DOWN
Kmt2b,0.399331314,-1.324341887,0,0,DOWN
Map3k7,0.399177203,-1.324898765,0,0,DOWN
Cacna2d2,0.399116316,-1.325118839,0,0,DOWN
Kif4,0.399074608,-1.325269608,8.45E-12,2.85E-11,DOWN
Slitrk1,0.399026421,-1.32544382,0,0,DOWN
Gm26632,0.399001699,-1.325533206,0,0,DOWN
BC100530,0.39892009,-1.325828314,0,0,DOWN
Cnnm3,0.398853739,-1.326068292,0,0,DOWN
Rpl28,0.398824224,-1.326175055,0,0,DOWN
Ldb3,0.398667609,-1.326741702,0.00478723,0.009431473,DOWN
Ppp1r12c,0.398593137,-1.327011226,0,0,DOWN
Gm12258,0.398506618,-1.327324412,0,0,DOWN
Vmn1r4,0.398352457,-1.327882623,0.023989615,0.04341166,DOWN
Abcd2,0.398062956,-1.328931474,2.98E-10,9.31E-10,DOWN
6720427I07Rik,0.398062956,-1.328931474,0,0,DOWN
Cadps2,0.398014997,-1.329105304,2.22E-16,8.96E-16,DOWN
Arx,0.397466607,-1.331094436,0,0,DOWN
Map2k3os,0.397107605,-1.332398104,0.006152786,0.01199048,DOWN
Pfkfb2,0.396992535,-1.332816216,1.48E-06,3.82E-06,DOWN
5031439G07Rik,0.396806457,-1.333492591,0,0,DOWN
Tcim,0.396707418,-1.333852721,0,0,DOWN
Susd1,0.39663542,-1.334114577,5.32E-08,1.49E-07,DOWN
Papd7,0.396464956,-1.334734744,0,0,DOWN
Acvr1,0.39644686,-1.334800594,0,0,DOWN
Grb14,0.396330626,-1.33522364,0,0,DOWN
Cacnb2,0.396246778,-1.335528891,0,0,DOWN
Chn1,0.395979396,-1.336502731,6.66E-16,2.64E-15,DOWN
Fzd5,0.395874553,-1.336884761,0,0,DOWN
Trnp1,0.395804646,-1.337139549,2.22E-16,8.96E-16,DOWN
Gm10031,0.395762014,-1.337294947,2.40E-06,6.12E-06,DOWN
Klf12,0.395762014,-1.337294947,5.07E-14,1.88E-13,DOWN
Mrvi1,0.395272412,-1.33908083,4.76E-05,0.000110672,DOWN
Ccdc71l,0.395244439,-1.33918293,0,0,DOWN
Hyou1,0.395062701,-1.339846452,0,0,DOWN
Stx1b,0.395000934,-1.340072032,0.00266001,0.005369172,DOWN
Pi4kb,0.394906886,-1.340415572,0,0,DOWN
Gm3448,0.39468468,-1.341227575,0,0,DOWN
Slc36a1,0.394635192,-1.34140848,2.87E-08,8.17E-08,DOWN
Gdf11,0.394601539,-1.341531511,0,0,DOWN
Gm49085,0.394554605,-1.341703118,6.73E-06,1.66E-05,DOWN
Crim1,0.394459094,-1.342052396,0,0,DOWN
Rpl27-ps3,0.394317677,-1.34256971,0,0,DOWN
Pitpnm3,0.394311578,-1.342592024,6.42E-06,1.59E-05,DOWN
Dpp4,0.394283682,-1.342694093,5.55E-16,2.21E-15,DOWN
Zfp626,0.394274495,-1.342727707,3.33E-16,1.34E-15,DOWN
Ackr3,0.394244077,-1.342839015,0,0,DOWN
Spry1,0.394202952,-1.342989515,9.76E-07,2.55E-06,DOWN
8430432A02Rik,0.394053689,-1.343535887,0.000828547,0.001757266,DOWN
Usp24,0.394053689,-1.343535887,0,0,DOWN
Myof,0.393861119,-1.344241091,0,0,DOWN
Htr1f,0.393684264,-1.344889048,0.00017363,0.00038818,DOWN
Nsa2,0.392923543,-1.347679481,0,0,DOWN
Ccdc42,0.392842458,-1.34797723,0.002145471,0.004373605,DOWN
Gm14226,0.392814047,-1.348081575,0,0,DOWN
Hecw2,0.392789095,-1.348173217,8.22E-15,3.13E-14,DOWN
Shcbp1l,0.39275545,-1.348296799,0.000646029,0.001380521,DOWN
8030462N17Rik,0.392382994,-1.34966558,1.40E-09,4.26E-09,DOWN
Ndst4,0.392075001,-1.350798439,6.15E-14,2.27E-13,DOWN
mt-Atp8,0.3918947,-1.351462035,0,0,DOWN
