x,norm_foldChange,logFC,pvalue,pvalue.adj.FDR,State
1700011D18Rik,0.830963455,-0.267143065,0.960474615,0.999994095,NA
A430090L17Rik,0.830963455,-0.267143065,0.938795915,0.999994095,NA
Popdc3,0.830963455,-0.267143065,0.906947871,0.999994095,NA
Gm10561,0.830963455,-0.267143065,0.881298544,0.993071515,NA
Gm10369,0.830963455,-0.267143065,0.865550275,0.98200938,NA
Ccdc138,0.830963455,-0.267143065,0.511964129,0.739516203,NA
Kremen1,0.830963455,-0.267143065,0.292889435,0.479194343,NA
Zfp120,0.830963455,-0.267143065,0.172553365,0.306303901,NA
Hoxc9,0.830704669,-0.267592432,0.054925721,0.111577388,NA
Sox13,0.830668892,-0.267654568,0.712655884,0.896119927,NA
Kif2c,0.830460146,-0.26801716,0.197063976,0.344831452,NA
Wdr24,0.830435188,-0.268060518,0.066074519,0.13197558,NA
Sh3bp2,0.830392738,-0.268134267,0.790624472,0.962395207,NA
Slc25a19,0.830392738,-0.268134267,0.059362548,0.119656606,NA
Ppp6r2,0.830372968,-0.268168616,0.040582417,0.084558813,NA
Bfsp2,0.830009421,-0.268800382,0.935476965,0.999994095,NA
Gm7008,0.830009421,-0.268800382,0.894787604,0.998853811,NA
Cap2,0.830009421,-0.268800382,0.601102781,0.818489484,NA
Zfp37,0.829964701,-0.268878116,0.114700269,0.215316068,NA
Epop,0.829842047,-0.269091336,0.526616898,0.756923307,NA
Aunip,0.829842047,-0.269091336,0.219316782,0.378315711,NA
B230217C12Rik,0.829749445,-0.269252335,0.101431826,0.19295359,NA
Eml1,0.829734219,-0.269278809,0.742012513,0.920801175,NA
Lama2,0.829734219,-0.269278809,0.496248045,0.720867882,NA
1810064F22Rik,0.829681387,-0.269370674,0.610815926,0.828919575,NA
Tkfc,0.82967556,-0.269380806,0.030508239,0.065230652,NA
Zfp85,0.829638683,-0.269444932,0.114288923,0.214645729,NA
Trpm5,0.829603449,-0.269506202,0.363266584,0.570057081,NA
Zfp39,0.829560816,-0.269580344,0.271765496,0.448978207,NA
Efr3b,0.829527045,-0.269639077,0.740428467,0.919765845,NA
Iqsec2,0.829476937,-0.269726226,0.748646418,0.926533414,NA
Tram1l1,0.829365449,-0.269920149,0.038068556,0.079850723,NA
Sgpp1,0.829286247,-0.270057928,0.10311715,0.195820626,NA
Gm17501,0.82923588,-0.270145553,0.963805852,0.999994095,NA
Apba1,0.82923588,-0.270145553,0.910176159,0.999994095,NA
Armh1,0.82923588,-0.270145553,0.910171978,0.999994095,NA
Gm3636,0.82923588,-0.270145553,0.865151785,0.981808264,NA
Shisa7,0.82923588,-0.270145553,0.845440761,0.9689189,NA
1500015A07Rik,0.82923588,-0.270145553,0.079515648,0.156018504,NA
Tmem177,0.829041041,-0.270484572,0.274420626,0.452948588,NA
Galns,0.829041041,-0.270484572,0.242866037,0.406874657,NA
Fam8a1,0.828722348,-0.271039267,0.026517223,0.05726053,NA
Tceanc2,0.828680589,-0.271111967,0.040720522,0.084810841,NA
Pask,0.828596038,-0.271259173,0.439755428,0.667631763,NA
Pced1a,0.828596038,-0.271259173,0.250699613,0.41843906,NA
Slc6a14,0.828481115,-0.271459283,0.805441564,0.964998213,NA
Yjefn3,0.82831587,-0.271747065,0.515711335,0.744331068,NA
Zdhhc13,0.828202779,-0.271944051,0.097481586,0.186083252,NA
Fbxl13,0.828057989,-0.272196292,0.942549855,0.999994095,NA
Serpinb8,0.828057989,-0.272196292,0.886272079,0.995532795,NA
Crb2,0.828057989,-0.272196292,0.024944197,0.054254656,NA
Ampd2,0.827887968,-0.272492544,0.110763961,0.208738943,NA
Slc35a3,0.827787293,-0.272667993,0.038409568,0.080412539,NA
Dixdc1,0.827723257,-0.2727796,0.335728884,0.538843062,NA
Hist1h2bg,0.827599231,-0.272995791,0.739911016,0.919729716,NA
A430105J06Rik,0.827422682,-0.273303588,0.192296843,0.337175691,NA
Slc25a29,0.827355053,-0.273421511,0.433213512,0.659116266,NA
Ptchd3,0.82720344,-0.27368591,0.971253841,0.999994095,NA
She,0.82720344,-0.27368591,0.948221587,0.999994095,NA
Gm44696,0.82720344,-0.27368591,0.824946561,0.964998213,NA
AC154760.1,0.826858484,-0.27428766,0.657640842,0.852463871,NA
Fam57b,0.826858484,-0.27428766,0.582195903,0.798682341,NA
0610039K10Rik,0.826753138,-0.274471478,0.720691093,0.90426939,NA
Spred2,0.826732597,-0.274507324,0.087191121,0.168834647,NA
Tpk1,0.826555161,-0.274816993,0.038901407,0.081347531,NA
Frat2,0.826244509,-0.275359315,0.024751189,0.053864468,NA
Srsf12,0.82610402,-0.275604643,0.081714849,0.159353622,NA
Slc2a9,0.826046512,-0.275705078,0.819122036,0.964998213,NA
Tdp1,0.825957651,-0.275860282,0.114650589,0.215243234,NA
Ptcd1,0.825636766,-0.276420878,0.194262585,0.340290664,NA
Rabggta,0.825600132,-0.276484894,0.028680465,0.06156217,NA
Grasp,0.825475742,-0.276702275,0.110338374,0.208095502,NA
Pqlc3,0.825460386,-0.276729113,0.319956064,0.518206227,NA
Sgsm3,0.825299634,-0.277010094,0.582588433,0.799034345,NA
Slc8b1,0.825299634,-0.277010094,0.580274788,0.796875797,NA
Rps6kc1,0.825256289,-0.277085868,0.178565325,0.315729286,NA
Mst1r,0.824892815,-0.277721424,0.130547249,0.240611727,NA
E330017L17Rik,0.824777623,-0.277922903,0.898660351,0.999994095,NA
Ttpal,0.82471561,-0.278031381,0.063749761,0.127731974,NA
Mettl4,0.824636876,-0.278169118,0.132700924,0.244262556,NA
Aloxe3,0.824571429,-0.278283622,0.694039945,0.880886577,NA
Eogt,0.824571429,-0.278283622,0.17365022,0.30787447,NA
Fam20c,0.824508966,-0.278392913,0.595114765,0.812573184,NA
Cyp2f2,0.824508966,-0.278392913,0.395139134,0.611583001,NA
Caskin2,0.824364599,-0.278645543,0.164027464,0.294792617,NA
Vps45,0.824330908,-0.278704506,0.0401039,0.083665613,NA
Rab42,0.824285218,-0.278784471,0.333318834,0.537384936,NA
Cldn4,0.824235006,-0.278872357,0.453574689,0.684827851,NA
C8g,0.824186808,-0.278956723,0.635425407,0.836475803,NA
Cdh5,0.824186808,-0.278956723,0.555723123,0.771623137,NA
Fem1a,0.824044783,-0.279205351,0.044406718,0.091792445,NA
Stk35,0.823670539,-0.279860708,0.149256493,0.271452785,NA
Ppm1f,0.823670539,-0.279860708,0.140887631,0.257748924,NA
Ttll5,0.823649196,-0.279898091,0.198259854,0.346494959,NA
Coq10a,0.823512627,-0.280137324,0.115822433,0.217134132,NA
1700102H20Rik,0.823443424,-0.280258564,0.457235533,0.689137646,NA
Srpx2,0.823379695,-0.280370224,0.857993431,0.978106613,NA
Zfp943,0.823240441,-0.28061424,0.330365755,0.5334935,NA
Polr3g,0.823227882,-0.28063625,0.138541388,0.253832151,NA
Rbm48,0.823196252,-0.280691682,0.059381326,0.119682262,NA
Mkks,0.823145869,-0.280779983,0.286268068,0.469759844,NA
Osr1,0.822828149,-0.281336946,0.478968272,0.700602659,NA
Map3k8,0.822803421,-0.281380302,0.214931299,0.371723287,NA
Sox11,0.822791512,-0.281401184,0.069561292,0.138283737,NA
Pld2,0.82274666,-0.281479831,0.02816322,0.060511004,NA
Mr1,0.822626029,-0.281691373,0.256481304,0.427008345,NA
Fblim1,0.822539854,-0.281842512,0.399966243,0.617797472,NA
Fam219b,0.822455297,-0.281990829,0.116850176,0.21881202,NA
Adam23,0.821831989,-0.283084608,0.993799131,0.999994095,NA
Gm26775,0.821831989,-0.283084608,0.993769407,0.999994095,NA
Gm15704,0.821831989,-0.283084608,0.993384685,0.999994095,NA
1810010D01Rik,0.821831989,-0.283084608,0.991050209,0.999994095,NA
Gpr88,0.821831989,-0.283084608,0.991043502,0.999994095,NA
Enpp3,0.821831989,-0.283084608,0.989704148,0.999994095,NA
Gm13480,0.821831989,-0.283084608,0.989698791,0.999994095,NA
Cacng7,0.821831989,-0.283084608,0.989694423,0.999994095,NA
Bhmt2,0.821831989,-0.283084608,0.987551585,0.999994095,NA
Slc25a34,0.821831989,-0.283084608,0.987549883,0.999994095,NA
Vsig8,0.821831989,-0.283084608,0.982818972,0.999994095,NA
Lrfn5,0.821831989,-0.283084608,0.965767308,0.999994095,NA
Gm11696,0.821831989,-0.283084608,0.954342148,0.999994095,NA
Spag16,0.821831989,-0.283084608,0.952112514,0.999994095,NA
Lhfpl4,0.821831989,-0.283084608,0.950034316,0.999994095,NA
1700022N22Rik,0.821831989,-0.283084608,0.943406818,0.999994095,NA
Gm26583,0.821831989,-0.283084608,0.943264558,0.999994095,NA
Gm12500,0.821831989,-0.283084608,0.943181245,0.999994095,NA
Sash3,0.821831989,-0.283084608,0.943161868,0.999994095,NA
Sap25,0.821831989,-0.283084608,0.943160359,0.999994095,NA
Clcnka,0.821831989,-0.283084608,0.938669109,0.999994095,NA
2700046A07Rik,0.821831989,-0.283084608,0.89280726,0.997627792,NA
C1qtnf9,0.821831989,-0.283084608,0.88881028,0.996806838,NA
Zfp641,0.821831989,-0.283084608,0.883767062,0.994135429,NA
Allc,0.821831989,-0.283084608,0.837665138,0.964998213,NA
Pkd1l2,0.821831989,-0.283084608,0.837661918,0.964998213,NA
Cnpy1,0.821831989,-0.283084608,0.807591938,0.964998213,NA
Gm43703,0.821831989,-0.283084608,0.798599668,0.964998213,NA
